Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Incumplimiento de garantía;SERVICIO MABE;Repuestos y reparaciones (talleres varios no autos);No se Registro;No se Registro;190.01;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;29-oct-2025;Oct 25;Incumplimiento de garantía;DO IT CENTER;Almacén por departamentos;Mabe;Lavadora;509.30;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;29-oct-2025;Oct 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Frigidaire;Refrigeradora;1,389.93;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;30-oct-2025;Oct 25;Incumplimiento de garantía;FOTO SONIDO;Electrodomésticos/equipos electrónicos;Samsung;Refrigeradora;417.29;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Incumplimiento de servicio;MULTISERVICIOS ORTEGA;Servicios Profesionales;No se Registro;No se Registro;1,950.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Honor;Celular;330.63;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Falta de información;WINGO;Líneas aéreas;No se Registro;No se Registro;326.71;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Incumplimiento de garantía;DO IT CENTER;Electrodomésticos/equipos electrónicos;Top Mount;Refrigeradora;530.28;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;31-oct-2025;Oct 25;Resolución de contrato;MAS MOVIL;Telefonia;No se Registro;No se Registro;16.97;En proceso;;;;;2025
Veracidad;Panamá;Ley 45 de 2007;14-oct-2025;Oct 25;Veracidad de la publicidad;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;37.51;Pendiente constancia desistimiento;;18-nov-2025;Nov 25;2025;2025
Veracidad;Panamá;Ley 45 de 2007;20-oct-2025;Oct 25;Veracidad de la publicidad;SAMSUNG;Electrodomésticos/equipos electrónicos;Samsung;Celular;4.94;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;06-oct-2025;Oct 25;Incumplimiento de servicio;CORPORACION ANCON,S.A.;Almacén por departamentos;No se Registro;Juego de recamara;1,273.28;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-oct-2025;Oct 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;LG;Estufa;1,069.98;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-oct-2025;Oct 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;LG;Refrigeradora;1,069.97;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;03-oct-2025;Oct 25;Falta de información;NG SPORT 507, S.A.;Servicios Profesionales;No se Registro;No se Registro;142.50;Desistimiento/Devolución;142.50;13-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;03-oct-2025;Oct 25;Incumplimiento de garantía;NOVEY;Electrodomésticos/equipos electrónicos;Nisato;Refrigeradora;503.47;Acuerdo en audiencia/Varios;;15-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;06-oct-2025;Oct 25;Incumplimiento de garantía;DOIT CENTER;Almacén por departamentos;Hotline;Televisor;213.98;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;06-oct-2025;Oct 25;Incumplimiento de garantía;TITAN;Almacén por departamentos;No se Registro;No se Registro;593.20;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;08-oct-2025;Oct 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Honor;Celular;1,304.33;Desistimiento;;18-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de garantía;E-VISION,S.A.;Electrodomésticos/equipos electrónicos;Samsung;Refrigeradora;663.35;Pendiente constancia desistimiento;;01-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-oct-2025;Oct 25;Incumplimiento de garantía;MUEBLES MODERNOS;Fábricas de muebles;No se Registro;Juego de sala;734.43;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;22-oct-2025;Oct 25;Incumplimiento de garantía;IMPLOSA IMPORTADORA DE PLOMERIA, S.A.;Ferreterías, materiales de construccion o similares;No se Registro;No se Registro;154.12;Desistimiento;;27-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;28-oct-2025;Oct 25;Incumplimiento de garantía;MMD SERVICIOS INTEGRALES, S.A.;Casa de empeño;No se Registro;No se Registro;154.62;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;28-oct-2025;Oct 25;Falta de información;TUTORIA BULINGÜE LAS ACACIAS;Escuelas / colegio;No se Registro;No se Registro;475.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;13-oct-2025;Oct 25;Incumplimiento de garantía;DIGITAL CITY;Electrodomésticos/equipos electrónicos;Samsung;Refrigeradora;400.00;Desistimiento;;07-nov-2025;Nov 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de servicio;JIMPEÑA S A;Opticas;No se Registro;Lentes;153.01;Desistimiento;;19-dic-2025;Dic 25;2025;2025
Vehículo a Motor;Coclé;Ley 14 de 2018;10-oct-2025;Oct 25;Incumplimiento de contrato;MICROSERFIN PENONOME;Agencia de autos;No se Registro;No se Registro;3,600.00;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;03-oct-2025;Oct 25;Resolución de contrato;INVERSIONES EL CREPUSCULO S.A.;Funerarias;No se Registro;No se Registro;12.50;Acuerdo en audiencia/Varios;;25-nov-2025;Nov 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;03-oct-2025;Oct 25;Resolución de contrato;SKY;Tv por cable;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;06-oct-2025;Oct 25;Resolución de contrato;SKY;Tv por cable;No se Registro;No se Registro;28.34;Acuerdo en audiencia/Varios;;25-nov-2025;Nov 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;10-oct-2025;Oct 25;Resolución de contrato;INVERSIONES EL CREPUSCULO S.A.;Funerarias;No se Registro;No se Registro;20.00;Acuerdo;;15-oct-2025;Oct 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;13-oct-2025;Oct 25;Incumplimiento de garantía;CALZADOS BOMBA DE COLOMBIA;Zapaterías;No se Registro;No se Registro;62.06;Acuerdo en audiencia/Devolución de dinero;25.00;25-nov-2025;Nov 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;14-oct-2025;Oct 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;53.02;Acuerdo en audiencia/Varios;;25-nov-2025;Nov 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;21-oct-2025;Oct 25;Incumplimiento de garantía;ECO MARKET S.A.;Supermercados;Carbone;Bomba de agua;103.78;Acuerdo en audiencia/Varios;;18-dic-2025;Dic 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;24-oct-2025;Oct 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;Whirlpool;Lavadora;406.59;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;28-oct-2025;Oct 25;Resolución de contrato;SKY MEDIA VISION PANAMA S.A.;Tv por cable;No se Registro;No se Registro;39.22;En proceso;;;;;2025
Vehículo a Motor;Colón;Ley 14 de 2018;16-oct-2025;Oct 25;Incumplimiento de garantía;LA CASA DE LAS BATERIAS;Repuestos para autos;;Batería de auto;58.80;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;09-oct-2025;Oct 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;Hisense;Refrigeradora;1,283.95;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;14-oct-2025;Oct 25;Incumplimiento de garantía;PANAFOTO;Almacén de telas;Whirlpool;Refrigeradora;364.96;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;15-oct-2025;Oct 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;104.70;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de contrato;LA CASA DE LAS BATERIAS;Restaurantes / fondas;No se Registro;Depiladora;58.80;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;20-oct-2025;Oct 25;Incumplimiento de garantía;TITAN CREDIT;Almacén por departamentos;Whirlpool;Lavadora;350.00;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;23-oct-2025;Oct 25;Incumplimiento de garantía;ZONA  LIBRE  XPRESS;Celulares;Iphone;Celular;300.00;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;07-oct-2025;Oct 25;Devolución de dinero;TALLER MECANICO CGT;Taller de reparación de autos;Hyundai;Automóvil;849.54;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;08-oct-2025;Oct 25;Devolución de dinero;AUTO PARTES NUEVO UNIVERSO 1;Repuestos para autos;No se Registro;No se Registro;113.42;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;14-oct-2025;Oct 25;Incumplimiento de servicio;ES LA ESTRELLA;Estaciones de gasolinas;No se Registro;No se Registro;3,027.84;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;29-oct-2025;Oct 25;Incumplimiento de garantía;JAMES SERVICES;Taller de reparación de autos;No se Registro;No se Registro;1,300.00;En proceso;;;;;2025
Vehículo a Motor;Chiriquí;Ley 14 de 2018;31-oct-2025;Oct 25;Incumplimiento de garantía;RICARDO PEREZ, S.A.;Venta de autos usados;No se Registro;Automóvil;8,000.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-oct-2025;Oct 25;Devolución de dinero;PROMOCIONES TIERRAS ALTAS, S.A.;Constructoras;No se Registro;Vivienda;120.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;07-oct-2025;Oct 25;Mercancía defectuosa;DOIT CENTER;Almacén por departamentos;No se Registro;Bomba de agua;32.09;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;13-oct-2025;Oct 25;Mercancía defectuosa;DOIT CENTER;Almacén por departamentos;No se Registro;Calentador;159.99;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;14-oct-2025;Oct 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Comunicaciones / internet;No se Registro;No se Registro;24.66;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;15-oct-2025;Oct 25;Devolución de dinero;PERFIGLASS VIDRIOS MODERNOS;Servicios de instalación;No se Registro;Ventana;3,154.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de garantía;RESIDENCIAL SANTA CATALINA,S.A;Constructoras;No se Registro;Vivienda;3,560.43;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;17-oct-2025;Oct 25;Devolución de dinero;MULTIDESARROLLO URBANO,S.A.;Constructoras;No se Registro;Vivienda;300.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de garantía;CELL TECH STORE;Celulares;No se Registro;Tablet;187.25;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;17-oct-2025;Oct 25;Devolución de dinero;GAS AUTO LATINOAMERICA,S.A.;Constructoras;No se Registro;Vivienda;4,306.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;17-oct-2025;Oct 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;36.89;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;21-oct-2025;Oct 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;23.54;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;17-oct-2025;Oct 25;Devolución de dinero;RODELAG;Útiles de oficinas;HP;Impresora;353.49;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;13-oct-2025;Oct 25;Devolución de dinero;PEDIDOS YA;Servicios de transporte particular;No se Registro;No se Registro;164.10;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;06-oct-2025;Oct 25;Resolución de contrato;DECAMERON;Hoteles o planes vacacionales;No se Registro;No se Registro;1,000.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;20-oct-2025;Oct 25;Incumplimiento de garantía;GRUPO DE COMUNICACIONES DIGITALES, S.A.;Comunicaciones / internet;Honor;Celular;0.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;20-oct-2025;Oct 25;Resolución de contrato;PGR DEVELOPERS ALTO BOQUETE, S.A.;Constructoras;No se Registro;No se Registro;3,300.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;24-oct-2025;Oct 25;Devolución de dinero;DECAMERON;Hoteles o planes vacacionales;No se Registro;No se Registro;204.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;27-oct-2025;Oct 25;Devolución de dinero;PGR DEVELOPERS ALTO BOQUETE, S.A.;Constructoras;No se Registro;Vivienda;2,450.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;28-oct-2025;Oct 25;Resolución de contrato;INVERSIONES EL CREPUSCULO, S.A.;Funerarias;No se Registro;No se Registro;26.00;En proceso;;;;;2025
Vehículo a Motor;Herrera;Ley 14 de 2018;17-oct-2025;Oct 25;Incumplimiento de garantía;JETOUR - PETROMOTORS;Agencia de autos;Jetour;Automóvil;26,000.00;En proceso;;;;;2025
Vehículo a Motor;Herrera;Ley 14 de 2018;24-oct-2025;Oct 25;Incumplimiento de garantía;MOTORES JAPONESES;Agencia de autos;Suzuki;Automóvil;23,500.00;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;01-oct-2025;Oct 25;Incumplimiento de garantía;GRUPO  SPIEGEL, S.A.;Almacén por departamentos;No se Registro;No se Registro;163.36;Desistimiento;;14-oct-2025;Oct 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;13-oct-2025;Oct 25;Incumplimiento de garantía;BLING.;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;44.94;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;22-oct-2025;Oct 25;Incumplimiento de contrato;NOVEY;Almacén por departamentos;No se Registro;No se Registro;442.95;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;24-oct-2025;Oct 25;Falta de información;CUBITA BOUTIQUE AND RESORT;Hoteles o planes vacacionales;No se Registro;No se Registro;188.00;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;29-oct-2025;Oct 25;Vicio oculto;ALMACEN EL BOMBAZO;Almacén por departamentos;No se Registro;No se Registro;340.00;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;30-oct-2025;Oct 25;Vicio oculto;SAMSUNG;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;349.45;Desistimiento;;20-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Los Santos;Ley 14 de 2018;01-oct-2025;Oct 25;Falta de información;GRUPO TONELADA S.A./ RICAURTE DE JESÚS BATISTA CANO;Repuestos para autos;Nissan;Pieza de Repuesto;1,300.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;07-oct-2025;Oct 25;Rescindir contrato;SKY PANAMÁ;Comunicaciones / internet;No se Registro;No se Registro;240.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;09-oct-2025;Oct 25;Incumplimiento de garantía;LAS OFERTAS DEL DÓLAR;Almacén por departamentos;No se Registro;Motosierra;135.89;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de contrato;PANAMA BEST TRAVEL;Agencias de viajes;No se Registro;No se Registro;4,950.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;22-oct-2025;Oct 25;Incumplimiento de servicio;Chapisteria y pinturas Víctor;Taller de reparación de autos;No se Registro;Automóvil;913.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;22-oct-2025;Oct 25;Incumplimiento de garantía;GRUPO MEGA - PROVENTAS, S.A.;Mueblería/equipo electrónico;Mabe;Lavadora;293.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;24-oct-2025;Oct 25;Incumplimiento de servicio;PANAMA BEST TRAVEL;Agencias de viajes;No se Registro;No se Registro;300.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;28-oct-2025;Oct 25;Rescindir contrato;SKY PANAMÁ;Comunicaciones / internet;No se Registro;No se Registro;33.74;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;29-oct-2025;Oct 25;Incumplimiento de garantía;PANAMA BEST TRAVEL;Agencias de viajes;No se Registro;No se Registro;1,000.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;30-oct-2025;Oct 25;Incumplimiento de contrato;PANAMA BEST TRAVEL;Agencias de viajes;No se Registro;No se Registro;420.00;En proceso;;;;;2025
Decisión;Los Santos;Ley 45 de 2007;31-oct-2025;Oct 25;Incumplimiento de contrato;PANAMA BEST TRAVEL;Agencias de viajes;No se Registro;No se Registro;560.00;En proceso;;;;;2025
Vehículo a Motor;Veraguas;Ley 14 de 2018;31-oct-2025;Oct 25;Daños y perjuicios;AUTO REPUESTO LA ESTRELLA;Repuestos para autos;Suzuki;Pieza de Repuesto;237.54;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;01-oct-2025;Oct 25;Custodia de bien;ARQUI OFFICE;Útiles de oficinas;Dell;Laptop;390.44;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;02-oct-2025;Oct 25;Resolución de contrato;SKY;Tv por cable;No se Registro;No se Registro;24.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;06-oct-2025;Oct 25;Resolución de contrato;SKY;Tv por cable;No se Registro;No se Registro;34.46;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;10-oct-2025;Oct 25;Falta de información;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Celular;1,166.25;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;10-oct-2025;Oct 25;Falta de información;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Celular;1,166.25;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;13-oct-2025;Oct 25;Falta de información;INVERSIONES EL CREPUSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;15-oct-2025;Oct 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Refrigeradora;802.45;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;16-oct-2025;Oct 25;Resolución de contrato;SKY;Tv por cable;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;16-oct-2025;Oct 25;Incumplimiento de garantía;COOPERATIVA DE S.M. JUAN XXIII, R.L. AGROFERRETERIA;Cooperativas;Carbone;Maquina de soldar;118.60;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;23-oct-2025;Oct 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Refrigeradora;455.71;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;27-oct-2025;Oct 25;Incumplimiento de garantía;SPIEGEL;Electrodomésticos/equipos electrónicos;Nisato;Refrigeradora;449.38;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;27-oct-2025;Oct 25;Incumplimiento de servicio;OPTICA PEÑA DIAZ;Opticas;No se Registro;No se Registro;318.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;31-oct-2025;Oct 25;Falta de información;INVERSIONES EL CREPUSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;31-oct-2025;Oct 25;Falta de información;INVERSIONES EL CREPUSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;09-oct-2025;Oct 25;Veracidad de la publicidad;EMPRESAS CARBONE, S.A.;Agencia de autos;Keeway;Moto;1,190.17;En proceso;;;;;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;06-oct-2025;Oct 25;Incumplimiento de garantía;DISTRIBUIDORA AUTOMOTRIZ FORTUNE;Agencia de autos;Changan;Automóvil;20,988.00;En proceso;;;;;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;14-oct-2025;Oct 25;Incumplimiento de garantía;DISTRIBUIDORA AUTOMOTRIZ FORTUNE;Agencia de autos;Changan;Automóvil;27,488.00;En proceso;;;;;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;15-oct-2025;Oct 25;Incumplimiento de garantía;GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Cherry;Automóvil;20,990.00;En proceso;;;;;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;30-oct-2025;Oct 25;Falta de información;ROSA JULIA NIETO GAMEZ;Repuestos para autos;No se Registro;Motor de Auto;520.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;01-oct-2025;Oct 25;Incumplimiento de garantía;DIGITAL GAMES;Electrodomésticos/equipos electrónicos;No se Registro;Video juego;39.99;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;03-oct-2025;Oct 25;Incumplimiento de garantía;MUEBLES BHANA;Mueblerías;No se Registro;Sofa cama;214.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;15-oct-2025;Oct 25;Incumplimiento de garantía;RODELAG;Electrodomésticos/equipos electrónicos;LG;Estufa;1,069.98;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-oct-2025;Oct 25;Resolución de contrato;PLANET FITNES;Gimnasio y centros deportivos;No se Registro;No se Registro;9.99;Desistimiento;;27-nov-2025;Nov 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-oct-2025;Oct 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;LG;Refrigeradora;1,069.97;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-oct-2025;Oct 25;Incumplimiento de garantía;RAENCO;Almacén por departamentos;Epson;Impresora;445.98;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;21-oct-2025;Oct 25;Falta de información;OPTICA DR. LENTE;Opticas;No se Registro;Lentes;70.00;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;21-oct-2025;Oct 25;Incumplimiento de garantía;ALMACEN AGROPECUARIA ASIA, S.A.;Ferreterías, materiales de construccion o similares;No se Registro;No se Registro;16.04;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;24-oct-2025;Oct 25;Incumplimiento de servicio;FOTO SONIDO;Electrodomésticos/equipos electrónicos;No se Registro;Congelador;941.58;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;29-oct-2025;Oct 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;34.90;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;31-oct-2025;Oct 25;Resolución de contrato;MAS MOVIL;Telefonia;No se Registro;No se Registro;23.54;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-nov-2025;Nov 25;Vicio oculto;PROVEEDOR AUTOMOTRIZ, S.A.;Venta de autos usados;Nissan;Automóvil;6,300.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-nov-2025;Nov 25;Custodia de bien;AIRE SI;Repuestos para autos;Toyota;Automóvil;1,230.51;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-nov-2025;Nov 25;Incumplimiento de garantía;AUTOMOBILE COMPANY;Venta de autos usados;Suzuki;Automóvil;7,050.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-nov-2025;Nov 25;Incumplimiento de garantía;AUTOS PRITY 507;Venta de autos usados;Nissan;Automóvil;7,623.61;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-nov-2025;Nov 25;Incumplimiento de servicio;BAY MOTORS, S.A.;Agencia de autos;Geely;Automóvil;21,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-nov-2025;Nov 25;Incumplimiento de servicio;PANAMA CAR RENTAL, S.A.;Venta de autos usados;Toyota;Automóvil;24,600.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-nov-2025;Nov 25;Incumplimiento de garantía;AISIN SHOP, S.A.;Repuestos para autos;Hyundai;Automóvil;304.95;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-nov-2025;Nov 25;Custodia de bien;ROUSECARSHOP;Taller de reparación de autos;Toyota;Automóvil;256.80;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-nov-2025;Nov 25;Vicio oculto;SUPER AUTOS;Venta de autos usados;Hyundai;Automóvil;6,500.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-nov-2025;Nov 25;Incumplimiento de servicio;AIRE POLAR PANAMA;Taller de reparación de autos;Ford;Automóvil;450.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;27-nov-2025;Nov 25;Incumplimiento de garantía;GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Cherry;Automóvil;16,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-nov-2025;Nov 25;Incumplimiento de servicio;AUTO ELECTRIC IMPORT, S.A.;Taller de reparación de autos;Honda;Automóvil;219.35;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-nov-2025;Nov 25;Incumplimiento de garantía;CAR LINE;Venta de autos usados;KIA;Automóvil;5,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-nov-2025;Nov 25;Falta de información;GRUPO SILABA;Agencia de autos;KIA;Automóvil;27,995.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-nov-2025;Nov 25;Vicio oculto;MOTION MOTORS, S.A.;Agencia de autos;No se Registro;Automóvil;18,179.30;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;13-nov-2025;Nov 25;Incumplimiento de servicio;ROUSECARSHOP;Taller de reparación de autos;Toyota;Automóvil;708.71;En proceso;;;;;2025
