Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;17-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;26.32;Acuerdo en audiencia/Varios;;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de garantía;PRICESMART;Almacén por departamentos;LG;Televisor;406.59;Desistimiento;;17-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;179.95;Pendiente constancia desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de garantía;TITAN PANAMÁ;Almacén por departamentos;Premier;Televisor;433.34;Abandono;;12-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de servicio;FEROSYSTEMS;Servicios de instalación;No se Registro;Bomba de agua;500.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;HP;Laptop;534.96;Resolución/Reparar;;01-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-ene-2025;Ene 25;Incumplimiento de servicio;INVERSIONES JFD, S.A.;Centros de estéticas;No se Registro;No se Registro;800.00;Corregiduría/Casa de Justicia Comunitaria de Paz;;04-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;26.00;Acuerdo en audiencia/Varios;;28-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;43.00;Acuerdo en audiencia/Varios;43.00;28-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Whirlpool;Licuadora;384.14;Acuerdo/Reparación;;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;Selectron;Aire acondicionado;235.37;Acuerdo en audiencia/Varios;;16-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Incumplimiento de garantía;ELECTRO IMPORT;Electrodomésticos/equipos electrónicos;No se Registro;DRON;171.19;Acuerdo en audiencia/Devolución de dinero;171.19;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;31.20;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;21-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Celulares;No se Registro;Celular;13.50;Acuerdo en audiencia/Varios;;23-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-ene-2025;Ene 25;Incumplimiento de garantía;MULTIMAX;Electrodomésticos/equipos electrónicos;Lenovo;Laptop;706.11;Resolución no acceder;;01-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Celulares;No se Registro;Celular;20.00;Desistimiento;;21-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;22-ene-2025;Ene 25;Falta de información;STEREN ELECTRONICA NEWTON, S.A.;Electrodomésticos/equipos electrónicos;No se Registro;Audifonos;49.21;Acuerdo/Devolución;49.21;28-feb-2025;Feb 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;23-ene-2025;Ene 25;Incumplimiento de garantía;PHOTURA;Electrodomésticos/equipos electrónicos;LG;Refrigeradora;1,059.24;Resoluciones/Varios;;28-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;YOYTEC COMPUTER;Constructoras;No se Registro;Laptop;1,069.99;Desistimiento;;09-dic-2025;Dic 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;24-ene-2025;Ene 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;20.00;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;24-ene-2025;Ene 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;26.00;Acuerdo en audiencia/Varios;;26-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;24-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Congelador;567.10;Resoluciones/Varios;;04-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;24-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;22.42;Acuerdo en audiencia/Varios;;10-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;EL MACHETAZO;Supermercados;Samsung;Refrigeradora;641.97;Pendiente constancia desistimiento;;19-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Falta de información;FITLAB SHOP, S.A.;Gimnasio y centros deportivos;No se Registro;Generador;59.10;Pendiente constancia desistimiento;59.10;20-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;TOUCH MOVIL;Celulares;REDMI;Celular;390.55;Desistimiento;;12-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;30-ene-2025;Ene 25;Incumplimiento de garantía;SMART CENTER;Electrodomésticos/equipos electrónicos;HP;Impresora;210.00;Desistimiento;;12-mar-2025;Mar 25;2025;2025
